Dam (m²/s);Densidade (mol/m³);Pressão de vapor (Pa);Tempo de evaporação (s)
6.66667e-05;1088.89;3.16;12788029.63
7.22222e-05;1088.89;3.16;11804335.05
7.77778e-05;1088.89;3.16;10961168.26
8.33333e-05;1088.89;3.16;10230423.71
8.88889e-05;1088.89;3.16;9591022.23
9.44444e-05;1088.89;3.16;9026844.45
1.00000e-04;1088.89;3.16;8525353.09
5.00000e-05;1111.11;3.16;17398679.78
5.55556e-05;1111.11;3.16;15658811.80
6.11111e-05;1111.11;3.16;14235283.45
6.66667e-05;1111.11;3.16;13049009.83
7.22222e-05;1111.11;3.16;12045239.84
7.77778e-05;1111.11;3.16;11184865.57
8.33333e-05;1111.11;3.16;10439207.87
8.88889e-05;1111.11;3.16;9786757.37
9.44444e-05;1111.11;3.16;9211065.76
1.00000e-04;1111.11;3.16;8699339.89
5.00000e-05;1133.33;3.16;17746653.37
5.55556e-05;1133.33;3.16;15971988.03
6.11111e-05;1133.33;3.16;14519989.12
6.66667e-05;1133.33;3.16;13309990.03
7.22222e-05;1133.33;3.16;12286144.64
7.77778e-05;1133.33;3.16;11408562.88
8.33333e-05;1133.33;3.16;10647992.02
8.88889e-05;1133.33;3.16;9982492.52
9.44444e-05;1133.33;3.16;9395287.08
1.00000e-04;1133.33;3.16;8873326.69
5.00000e-05;1155.56;3.16;18094626.97
5.55556e-05;1155.56;3.16;16285164.27
6.11111e-05;1155.56;3.16;14804694.79
6.66667e-05;1155.56;3.16;13570970.22
7.22222e-05;1155.56;3.16;12527049.44
7.77778e-05;1155.56;3.16;11632260.19
8.33333e-05;1155.56;3.16;10856776.18
8.88889e-05;1155.56;3.16;10178227.67
9.44444e-05;1155.56;3.16;9579508.39
1.00000e-04;1155.56;3.16;9047313.48
5.00000e-05;1177.78;3.16;18442600.56
5.55556e-05;1177.78;3.16;16598340.51
6.11111e-05;1177.78;3.16;15089400.46
6.66667e-05;1177.78;3.16;13831950.42
7.22222e-05;1177.78;3.16;12767954.24
7.77778e-05;1177.78;3.16;11855957.50
8.33333e-05;1177.78;3.16;11065560.34
8.88889e-05;1177.78;3.16;10373962.82
9.44444e-05;1177.78;3.16;9763729.71
1.00000e-04;1177.78;3.16;9221300.28
5.00000e-05;1200.00;3.16;18790574.16
5.55556e-05;1200.00;3.16;16911516.74
6.11111e-05;1200.00;3.16;15374106.13
6.66667e-05;1200.00;3.16;14092930.62
7.22222e-05;1200.00;3.16;13008859.03
7.77778e-05;1200.00;3.16;12079654.82
8.33333e-05;1200.00;3.16;11274344.49
8.88889e-05;1200.00;3.16;10569697.96
9.44444e-05;1200.00;3.16;9947951.02
1.00000e-04;1200.00;3.16;9395287.08
5.00000e-05;1000.00;3.24;15314662.09
5.55556e-05;1000.00;3.24;13783195.88
6.11111e-05;1000.00;3.24;12530178.07
6.66667e-05;1000.00;3.24;11485996.57
7.22222e-05;1000.00;3.24;10602458.37
7.77778e-05;1000.00;3.24;9845139.91
8.33333e-05;1000.00;3.24;9188797.25
8.88889e-05;1000.00;3.24;8614497.42
9.44444e-05;1000.00;3.24;8107762.28
1.00000e-04;1000.00;3.24;7657331.04
5.00000e-05;1022.22;3.24;15654987.91
5.55556e-05;1022.22;3.24;14089489.12
6.11111e-05;1022.22;3.24;12808626.47
6.66667e-05;1022.22;3.24;11741240.93
7.22222e-05;1022.22;3.24;10838068.55
7.77778e-05;1022.22;3.24;10063920.80
8.33333e-05;1022.22;3.24;9392992.75
8.88889e-05;1022.22;3.24;8805930.70
9.44444e-05;1022.22;3.24;8287934.78
1.00000e-04;1022.22;3.24;7827493.96
5.00000e-05;1044.44;3.24;15995313.74
5.55556e-05;1044.44;3.24;14395782.36
6.11111e-05;1044.44;3.24;13087074.88
6.66667e-05;1044.44;3.24;11996485.30
7.22222e-05;1044.44;3.24;11073678.74
7.77778e-05;1044.44;3.24;10282701.69
8.33333e-05;1044.44;3.24;9597188.24
8.88889e-05;1044.44;3.24;8997363.98
9.44444e-05;1044.44;3.24;8468107.27
1.00000e-04;1044.44;3.24;7997656.87
5.00000e-05;1066.67;3.24;16335639.56
5.55556e-05;1066.67;3.24;14702075.60
6.11111e-05;1066.67;3.24;13365523.28
6.66667e-05;1066.67;3.24;12251729.67
7.22222e-05;1066.67;3.24;11309288.93
7.77778e-05;1066.67;3.24;10501482.57
8.33333e-05;1066.67;3.24;9801383.74
8.88889e-05;1066.67;3.24;9188797.25
9.44444e-05;1066.67;3.24;8648279.77
1.00000e-04;1066.67;3.24;8167819.78
5.00000e-05;1088.89;3.24;16675965.38
5.55556e-05;1088.89;3.24;15008368.85
6.11111e-05;1088.89;3.24;13643971.68
6.66667e-05;1088.89;3.24;12506974.04
7.22222e-05;1088.89;3.24;11544899.11
7.77778e-05;1088.89;3.24;10720263.46
8.33333e-05;1088.89;3.24;10005579.23
8.88889e-05;1088.89;3.24;9380230.53
9.44444e-05;1088.89;3.24;8828452.26
1.00000e-04;1088.89;3.24;8337982.69
5.00000e-05;1111.11;3.24;17016291.21
5.55556e-05;1111.11;3.24;15314662.09
6.11111e-05;1111.11;3.24;13922420.08
6.66667e-05;1111.11;3.24;12762218.41
7.22222e-05;1111.11;3.24;11780509.30
7.77778e-05;1111.11;3.24;10939044.35
8.33333e-05;1111.11;3.24;10209774.73
8.88889e-05;1111.11;3.24;9571663.80
9.44444e-05;1111.11;3.24;9008624.76
1.00000e-04;1111.11;3.24;8508145.60
5.00000e-05;1133.33;3.24;17356617.03
5.55556e-05;1133.33;3.24;15620955.33
6.11111e-05;1133.33;3.24;14200868.48
6.66667e-05;1133.33;3.24;13017462.77
7.22222e-05;1133.33;3.24;12016119.48
7.77778e-05;1133.33;3.24;11157825.24
8.33333e-05;1133.33;3.24;10413970.22
8.88889e-05;1133.33;3.24;9763097.08
9.44444e-05;1133.33;3.24;9188797.25
