Distância da Fonte [R];Dam [m²/2];Pressao parcial [Pa];Distribuição do Tempo de Difusão;Pressão Total [P]
0.037;5.5e-05;3.136;10060.4;4
0.046;5.5e-05;3.136;15549.8;4
0.055;5.5e-05;3.136;22229.8;4
0.064;5.5e-05;3.136;30100.2;4
0.073;5.5e-05;3.136;39161.1;4
0.082;5.5e-05;3.136;49412.6;4
0.091;5.5e-05;3.136;60854.5;4
0.1;5.5e-05;3.136;73486.9;4
0.01;6e-05;3.136;673.63;4
0.019;6e-05;3.136;2431.8;4
0.028;6e-05;3.136;5281.26;4
0.037;6e-05;3.136;9221.99;4
0.046;6e-05;3.136;14254;4
0.055;6e-05;3.136;20377.3;4
0.064;6e-05;3.136;27591.9;4
0.073;6e-05;3.136;35897.7;4
0.082;6e-05;3.136;45294.8;4
0.091;6e-05;3.136;55783.3;4
0.1;6e-05;3.136;67363;4
0.01;6.5e-05;3.136;621.812;4
0.019;6.5e-05;3.136;2244.74;4
0.028;6.5e-05;3.136;4875.01;4
0.037;6.5e-05;3.136;8512.6;4
0.046;6.5e-05;3.136;13157.5;4
0.055;6.5e-05;3.136;18809.8;4
0.064;6.5e-05;3.136;25469.4;4
0.073;6.5e-05;3.136;33136.4;4
0.082;6.5e-05;3.136;41810.6;4
0.091;6.5e-05;3.136;51492.2;4
0.1;6.5e-05;3.136;62181.2;4
0.01;7e-05;3.136;577.397;4
0.019;7e-05;3.136;2084.4;4
0.028;7e-05;3.136;4526.79;4
0.037;7e-05;3.136;7904.56;4
0.046;7e-05;3.136;12217.7;4
0.055;7e-05;3.136;17466.3;4
0.064;7e-05;3.136;23650.2;4
0.073;7e-05;3.136;30769.5;4
0.082;7e-05;3.136;38824.2;4
0.091;7e-05;3.136;47814.2;4
0.1;7e-05;3.136;57739.7;4
0.01;7.5e-05;3.136;538.904;4
0.019;7.5e-05;3.136;1945.44;4
0.028;7.5e-05;3.136;4225;4
0.037;7.5e-05;3.136;7377.59;4
0.046;7.5e-05;3.136;11403.2;4
0.055;7.5e-05;3.136;16301.8;4
0.064;7.5e-05;3.136;22073.5;4
0.073;7.5e-05;3.136;28718.2;4
0.082;7.5e-05;3.136;36235.9;4
0.091;7.5e-05;3.136;44626.6;4
0.1;7.5e-05;3.136;53890.4;4
0.01;8e-05;3.136;505.222;4
0.019;8e-05;3.136;1823.85;4
0.028;8e-05;3.136;3960.94;4
0.037;8e-05;3.136;6916.49;4
0.046;8e-05;3.136;10690.5;4
0.055;8e-05;3.136;15283;4
0.064;8e-05;3.136;20693.9;4
0.073;8e-05;3.136;26923.3;4
0.082;8e-05;3.136;33971.1;4
0.091;8e-05;3.136;41837.4;4
0.1;8e-05;3.136;50522.2;4
0.01;8.5e-05;3.136;475.503;4
0.019;8.5e-05;3.136;1716.57;4
0.028;8.5e-05;3.136;3727.95;4
0.037;8.5e-05;3.136;6509.64;4
0.046;8.5e-05;3.136;10061.6;4
0.055;8.5e-05;3.136;14384;4
0.064;8.5e-05;3.136;19476.6;4
0.073;8.5e-05;3.136;25339.6;4
0.082;8.5e-05;3.136;31972.8;4
0.091;8.5e-05;3.136;39376.4;4
0.1;8.5e-05;3.136;47550.3;4
0.01;9e-05;3.136;449.086;4
0.019;9e-05;3.136;1621.2;4
0.028;9e-05;3.136;3520.84;4
0.037;9e-05;3.136;6147.99;4
0.046;9e-05;3.136;9502.67;4
0.055;9e-05;3.136;13584.9;4
0.064;9e-05;3.136;18394.6;4
0.073;9e-05;3.136;23931.8;4
0.082;9e-05;3.136;30196.6;4
0.091;9e-05;3.136;37188.8;4
0.1;9e-05;3.136;44908.6;4
0.01;9.5e-05;3.136;425.45;4
0.019;9.5e-05;3.136;1535.88;4
0.028;9.5e-05;3.136;3335.53;4
0.037;9.5e-05;3.136;5824.41;4
0.046;9.5e-05;3.136;9002.53;4
0.055;9.5e-05;3.136;12869.9;4
0.064;9.5e-05;3.136;17426.4;4
0.073;9.5e-05;3.136;22672.2;4
0.082;9.5e-05;3.136;28607.3;4
0.091;9.5e-05;3.136;35231.5;4
0.1;9.5e-05;3.136;42545;4
0.01;0.0001;3.136;404.178;4
0.019;0.0001;3.136;1459.08;4
0.028;0.0001;3.136;3168.75;4
0.037;0.0001;3.136;5533.19;4
0.046;0.0001;3.136;8552.4;4
0.055;0.0001;3.136;12226.4;4
0.064;0.0001;3.136;16555.1;4
0.073;0.0001;3.136;21538.6;4
0.082;0.0001;3.136;27176.9;4
0.091;0.0001;3.136;33470;4
0.1;0.0001;3.136;40417.8;4
0.01;5e-05;3.2;769.701;4
0.019;5e-05;3.2;2778.62;4
0.028;5e-05;3.2;6034.46;4
0.037;5e-05;3.2;10537.2;4
0.046;5e-05;3.2;16286.9;4
0.055;5e-05;3.2;23283.5;4
0.064;5e-05;3.2;31527;4
0.073;5e-05;3.2;41017.4;4
0.082;5e-05;3.2;51754.7;4
0.091;5e-05;3.2;63738.9;4
0.1;5e-05;3.2;76970.1;4
0.01;5.5e-05;3.2;699.728;4
0.019;5.5e-05;3.2;2526.02;4
0.028;5.5e-05;3.2;5485.87;4
0.037;5.5e-05;3.2;9579.28;4
0.046;5.5e-05;3.2;14806.2;4
0.055;5.5e-05;3.2;21166.8;4
0.064;5.5e-05;3.2;28660.9;4
0.073;5.5e-05;3.2;37288.5;4
0.082;5.5e-05;3.2;47049.7;4
0.091;5.5e-05;3.2;57944.5;4
0.1;5.5e-05;3.2;69972.8;4
0.01;6e-05;3.2;641.418;4
0.019;6e-05;3.2;2315.52;4
0.028;6e-05;3.2;5028.71;4
0.037;6e-05;3.2;8781.01;4
0.046;6e-05;3.2;13572.4;4
0.055;6e-05;3.2;19402.9;4
