Dam_m2_s;Ca_mol_m3;L_membrana_m
1.384615e-05;0.653846;66.344600
1.384615e-05;0.661538;64.870275
1.384615e-05;0.669231;63.395951
1.384615e-05;0.676923;61.921626
1.384615e-05;0.684615;60.447302
1.384615e-05;0.692308;58.972977
1.384615e-05;0.700000;57.498653
1.384615e-05;0.707692;56.024328
1.384615e-05;0.715385;54.550004
1.384615e-05;0.723077;53.075680
1.384615e-05;0.730769;51.601355
1.384615e-05;0.738462;50.127031
1.384615e-05;0.746154;48.652706
1.384615e-05;0.753846;47.178382
1.384615e-05;0.761538;45.704057
1.384615e-05;0.769231;44.229733
1.384615e-05;0.776923;42.755409
1.384615e-05;0.784615;41.281084
1.384615e-05;0.792308;39.806760
1.384615e-05;0.800000;38.332435
1.410256e-05;0.500000;94.088705
1.410256e-05;0.507692;92.641186
1.410256e-05;0.515385;91.193668
1.410256e-05;0.523077;89.746149
1.410256e-05;0.530769;88.298631
1.410256e-05;0.538462;86.851112
1.410256e-05;0.546154;85.403594
1.410256e-05;0.553846;83.956075
1.410256e-05;0.561538;82.508556
1.410256e-05;0.569231;81.061038
1.410256e-05;0.576923;79.613519
1.410256e-05;0.584615;78.166001
1.410256e-05;0.592308;76.718482
1.410256e-05;0.600000;75.270964
1.410256e-05;0.607692;73.823445
1.410256e-05;0.615385;72.375927
1.410256e-05;0.623077;70.928408
1.410256e-05;0.630769;69.480890
1.410256e-05;0.638462;68.033371
1.410256e-05;0.646154;66.585853
1.410256e-05;0.653846;65.138334
1.410256e-05;0.661538;63.690816
1.410256e-05;0.669231;62.243297
1.410256e-05;0.676923;60.795778
1.410256e-05;0.684615;59.348260
1.410256e-05;0.692308;57.900741
1.410256e-05;0.700000;56.453223
1.410256e-05;0.707692;55.005704
1.410256e-05;0.715385;53.558186
1.410256e-05;0.723077;52.110667
1.410256e-05;0.730769;50.663149
1.410256e-05;0.738462;49.215630
1.410256e-05;0.746154;47.768112
1.410256e-05;0.753846;46.320593
1.410256e-05;0.761538;44.873075
1.410256e-05;0.769231;43.425556
1.410256e-05;0.776923;41.978038
1.410256e-05;0.784615;40.530519
1.410256e-05;0.792308;39.083000
1.410256e-05;0.800000;37.635482
1.435897e-05;0.500000;92.408549
1.435897e-05;0.507692;90.986879
1.435897e-05;0.515385;89.565209
1.435897e-05;0.523077;88.143539
1.435897e-05;0.530769;86.721869
1.435897e-05;0.538462;85.300199
1.435897e-05;0.546154;83.878529
1.435897e-05;0.553846;82.456859
1.435897e-05;0.561538;81.035189
1.435897e-05;0.569231;79.613519
1.435897e-05;0.576923;78.191849
1.435897e-05;0.584615;76.770179
1.435897e-05;0.592308;75.348509
1.435897e-05;0.600000;73.926839
1.435897e-05;0.607692;72.505169
1.435897e-05;0.615385;71.083499
1.435897e-05;0.623077;69.661829
1.435897e-05;0.630769;68.240160
1.435897e-05;0.638462;66.818490
1.435897e-05;0.646154;65.396820
1.435897e-05;0.653846;63.975150
1.435897e-05;0.661538;62.553480
1.435897e-05;0.669231;61.131810
1.435897e-05;0.676923;59.710140
1.435897e-05;0.684615;58.288470
1.435897e-05;0.692308;56.866800
