Dam (Difusividade no ar);Densidade;Pressão de Vapor;Tempo de Evaporacao;Pressão Total
8.5e-05;1100;3.072;5.14347e+10;4
9e-05;1100;3.072;4.85772e+10;4
9.5e-05;1100;3.072;4.60205e+10;4
0.0001;1100;3.072;4.37195e+10;4
5e-05;1120;3.072;8.90287e+10;4
5.5e-05;1120;3.072;8.09352e+10;4
6e-05;1120;3.072;7.41906e+10;4
6.5e-05;1120;3.072;6.84836e+10;4
7e-05;1120;3.072;6.35919e+10;4
7.5e-05;1120;3.072;5.93525e+10;4
8e-05;1120;3.072;5.56429e+10;4
8.5e-05;1120;3.072;5.23698e+10;4
9e-05;1120;3.072;4.94604e+10;4
9.5e-05;1120;3.072;4.68572e+10;4
0.0001;1120;3.072;4.45144e+10;4
5e-05;1140;3.072;9.06185e+10;4
5.5e-05;1140;3.072;8.23805e+10;4
6e-05;1140;3.072;7.55154e+10;4
6.5e-05;1140;3.072;6.97065e+10;4
7e-05;1140;3.072;6.47275e+10;4
7.5e-05;1140;3.072;6.04123e+10;4
8e-05;1140;3.072;5.66366e+10;4
8.5e-05;1140;3.072;5.3305e+10;4
9e-05;1140;3.072;5.03436e+10;4
9.5e-05;1140;3.072;4.76939e+10;4
0.0001;1140;3.072;4.53093e+10;4
5e-05;1160;3.072;9.22083e+10;4
5.5e-05;1160;3.072;8.38257e+10;4
6e-05;1160;3.072;7.68402e+10;4
6.5e-05;1160;3.072;7.09295e+10;4
7e-05;1160;3.072;6.58631e+10;4
7.5e-05;1160;3.072;6.14722e+10;4
8e-05;1160;3.072;5.76302e+10;4
8.5e-05;1160;3.072;5.42402e+10;4
9e-05;1160;3.072;5.12268e+10;4
9.5e-05;1160;3.072;4.85307e+10;4
0.0001;1160;3.072;4.61041e+10;4
5e-05;1180;3.072;9.37981e+10;4
5.5e-05;1180;3.072;8.5271e+10;4
6e-05;1180;3.072;7.81651e+10;4
6.5e-05;1180;3.072;7.21524e+10;4
7e-05;1180;3.072;6.69986e+10;4
7.5e-05;1180;3.072;6.25321e+10;4
8e-05;1180;3.072;5.86238e+10;4
8.5e-05;1180;3.072;5.51754e+10;4
9e-05;1180;3.072;5.21101e+10;4
